date,name,type,source,year
2025-01-01,Confraternização mundial,national,brasilapi,2025
2025-03-04,Carnaval,national,brasilapi,2025
2025-04-18,Sexta-feira Santa,national,brasilapi,2025
2025-04-20,Páscoa,national,brasilapi,2025
2025-04-21,Tiradentes,national,brasilapi,2025
2025-05-01,Dia do trabalho,national,brasilapi,2025
2025-06-19,Corpus Christi,national,brasilapi,2025
2025-09-07,Independência do Brasil,national,brasilapi,2025
2025-10-12,Nossa Senhora Aparecida,national,brasilapi,2025
2025-11-02,Finados,national,brasilapi,2025
2025-11-15,Proclamação da República,national,brasilapi,2025
2025-11-20,Dia da consciência negra,national,brasilapi,2025
2025-12-25,Natal,national,brasilapi,2025
2026-01-01,Confraternização mundial,national,brasilapi,2026
2026-02-17,Carnaval,national,brasilapi,2026
2026-04-03,Sexta-feira Santa,national,brasilapi,2026
2026-04-05,Páscoa,national,brasilapi,2026
2026-04-21,Tiradentes,national,brasilapi,2026
2026-05-01,Dia do trabalho,national,brasilapi,2026
2026-06-04,Corpus Christi,national,brasilapi,2026
2026-09-07,Independência do Brasil,national,brasilapi,2026
2026-10-12,Nossa Senhora Aparecida,national,brasilapi,2026
2026-11-02,Finados,national,brasilapi,2026
2026-11-15,Proclamação da República,national,brasilapi,2026
2026-11-20,Dia da consciência negra,national,brasilapi,2026
2026-12-25,Natal,national,brasilapi,2026
